cre,gen,age,mar,hou,work,job,ind,sal,lb,aolu,tlr,ca,cl,pd,lu
good,2,44.2,2,2,5,2,1,12000,0,0,53.17,250000,0,1,2
good,2,34.2,2,3,5,2,3,30000,276454,289209,22.62,500000,500000,0,1
good,2,51.21,2,2,5,2,2,80000,0,0,53.01,475000,0,1,1
bad,2,45.21,1,2,5,2,3,15000,242772,6359,20.98,300000,242400,1,2
good,1,47.21,2,2,4,1,4,4500,821030,152754,30.08,300000,361000,0,1
good,2,49.21,2,1,2,2,3,80000,1097863,251927,55.77,190000,653012,0,1
good,1,31.2,1,2,3,1,3,7000,761346,55335,16.94,120000,92000,6,1
good,2,45.21,2,2,1,2,3,50000,416567,90976,16.66,280000,150002,0,1
good,1,34.2,2,2,1,2,2,150000,1246670,149845,44.16,300000,145435,11,1
good,2,37.2,2,2,4,1,4,15000,711319,99072,70.96,94000,310000,0,1
good,2,55.22,2,2,3,2,4,15000,3947719,8725,36.07,236000,427290,0,1
good,1,50.21,2,2,1,2,3,20000,1578377,320105,46.58,150000,342001,1,1
bad,1,32.21,2,3,1,2,2,60000,178934,61773,37,180000,71000,2,1
good,2,33.21,2,2,4,1,5,20000,383045,43833,20.73,196000,120000,0,1
good,2,28.21,1,1,2,1,3,11000,46607,1998,20.59,110000,130889,0,1
good,1,34.21,2,2,5,2,2,60000,2667768,262589,23.55,500000,261000,11,1
good,1,35.21,2,2,1,2,3,20000,310080,272714,74.8,80000,380167,1,1
good,1,29.21,2,2,4,1,3,15000,1584858,19059,36.21,295000,303000,0,1
good,2,27.21,1,1,2,2,2,30000,1268744,51590,21.97,470000,198000,0,1
good,2,32.21,2,2,2,2,3,100000,189454,236656,52.88,430000,243788,0,2
good,2,26.21,1,2,5,1,3,15000,496831,112227,21.72,120000,180738,10,1
good,2,40.22,2,2,5,2,2,100000,1865262,166994,23.37,500000,235406,4,2
good,1,35.22,2,1,5,2,3,10000,803896,252166,54.24,228000,322500,2,2
bad,1,35.22,1,2,5,1,2,20000,0,0,27.63,200000,0,1,1
good,1,27.21,2,2,5,2,3,8000,110148,12825,74.21,250000,155150,1,2
good,1,46.23,1,2,5,2,2,20000,1078336,290869,39.33,500000,354583,0,2
bad,2,45.23,2,1,2,2,2,20000,2453195,116597,72.81,200000,120388,6,2
bad,1,27.22,1,2,1,2,3,30000,228690,199587,65.41,300000,117000,5,2
good,1,34.22,2,3,1,2,3,50000,689656,48714,21.13,250000,50000,18,1
good,2,54.24,2,2,1,2,2,50000,942322,63055,37.41,90000,87190,9,4
good,2,47.24,2,2,5,2,5,100000,399001,102325,73.91,500000,861000,3,2
bad,1,38.24,2,2,5,1,3,80000,364515,0,29.32,500000,2000,7,2
bad,1,46.24,2,2,5,2,2,100000,834499,624348,43.6,370000,654000,4,1
bad,1,47.24,2,2,5,2,2,30000,261638,28449,34.7,380000,55000,7,2
good,1,39.24,1,3,1,1,3,7000,494010,146607,19.7,130000,144000,0,1
good,2,41.24,2,1,5,2,3,150000,1335123,472753,43.41,500000,481000,6,1
good,1,27.23,1,2,5,2,3,30000,198268,95537,23.09,185000,1124600,0,1
good,2,35.24,2,2,5,1,2,30000,993189,52306,26.57,280000,49600,6,1
good,2,37.24,2,2,1,2,3,300000,1042201,82338,22.13,200000,86000,10,1
bad,2,37.25,1,2,5,1,1,23000,97895,138210,24.69,500000,160000,9,2
good,1,32.25,2,1,1,2,3,20000,552676,100304,16.28,140000,117000,3,1
good,2,50.26,2,2,1,2,2,37000,0,0,74.94,249000,0,0,2
good,2,35.25,2,2,1,2,2,20000,246017,108363,18.61,500000,698254,4,2
bad,2,42.26,1,2,5,1,3,250000,164736,0,13.34,250000,65000,7,1
bad,2,42.26,2,2,1,1,2,6000,377513,191957,61.8,140000,123000,1,1
good,1,45.26,2,1,2,1,3,6000,630006,287980,23.62,360000,392333,0,1
good,1,33.25,2,2,5,2,2,50000,1946319,284657,58.87,500000,411500,0,1
good,2,51.26,2,2,1,2,1,55000,224013,108992,24.69,190000,180750,0,1
good,1,28.25,1,1,5,1,2,40000,816074,435651,17.1,500000,641251,5,1
bad,1,48.26,2,2,5,2,2,25000,879031,35168,22.67,260000,77500,7,1
good,2,30.25,1,3,3,1,2,12000,510156,59971,22.52,130000,105000,0,1
good,2,52.27,2,2,5,2,2,50000,1919555,482707,68.58,500000,1452500,2,2
good,1,27.25,1,2,5,2,3,10000,2769762,198109,22.99,340000,442000,0,1
good,2,26.25,2,3,5,2,3,30000,1594931,1260747,58.99,269000,1550200,2,1
good,2,43.26,2,2,5,2,3,100000,176236,197918,31.75,400000,698000,0,2
good,1,33.25,2,2,4,1,3,20000,1961793,38814,18,500000,303000,0,1
good,2,53.27,2,2,5,2,2,150000,0,0,57.41,330000,0,0,1
bad,2,39.26,1,2,5,1,2,25000,195634,7426,38.17,249000,40000,3,2
bad,2,27.25,1,1,5,1,2,40000,1133193,152473,33.96,370000,171962,13,1
good,2,25.25,1,2,5,1,3,8000,2244436,12471,19.28,500000,114767,0,1
good,2,46.27,2,2,5,2,3,30000,409876,181990,42.5,200000,282794,3,1
good,2,38.26,2,2,5,2,2,100000,4571723,188324,49.46,500000,190800,0,1
good,2,34.26,2,2,1,2,3,10000,66089,91057,73.29,150000,234140,8,2
good,1,31.25,1,3,1,1,2,13000,0,0,32.74,240000,0,0,1
good,2,40.26,2,2,1,1,2,1000000,691107,123443,74.92,97000,406300,0,2
bad,2,30.26,2,2,1,2,3,15000,154152,3439,33.91,164000,30000,1,1
bad,1,46.27,2,2,1,2,3,40000,793590,95846,33.3,323000,95000,16,2
bad,2,35.26,2,2,1,2,3,150000,1197045,100511,41.76,300000,73008,3,1
good,2,40.26,2,2,2,2,2,40000,92083,73434,56.76,209000,186550,1,2
